rssi_6,rssi_17,dis_6,dis_17
-37,-44,18,32
-38,-48,18,32
-41,-47,18,32
rssi_6,rssi_17,dis_6,dis_17
-35,-46,5,6
-35,-47,5,6
-36,-47,5,6
-36,-46,5,6
-35,-46,5,6
-37,-43,5,6
-34,-43,5,6
-37,-47,5,6
-34,-43,5,6
-36,-47,5,6
-35,-43,5,6
-32,-43,5,6
-37,-43,5,6
-38,-46,5,6
-38,-47,5,6
-38,-47,5,6
-35,-45,5,6
-37,-45,5,6
-38,-45,5,6
-35,-45,5,6
-38,-46,17,16
-40,-46,17,16
-36,-47,17,16
-40,-46,17,17
-35,-43,17,16
-41,-47,17,16
-34,-47,17,16
-37,-43,17,16
-37,-43,17,16
-37,-43,17,16
-38,-47,17,16
-40,-46,17,16
-37,-47,17,16
-37,-44,17,16
-36,-44,17,16
-35,-44,17,16
-40,-48,17,16
-38,-48,17,16
-41,-47,17,16
-40,-48,17,16
-39,-43,30,27
-38,-43,30,26
-38,-43,30,26
-39,-46,30,26
-39,-46,30,26
-36,-43,30,26
-42,-46,30,27
-39,-46,30,27
-42,-44,30,26
-39,-45,30,26
-40,-45,30,26
-38,-41,30,26
-41,-45,30,26
-41,-44,30,26
-41,-45,30,26
-35,-45,30,26
-40,-45,30,26
-39,-44,30,26
-38,-41,30,26
-37,-45,30,26
-39,-45,40,36
-41,-44,40,36
-39,-44,40,36
-37,-44,40,36
-38,-44,40,36
-37,-45,40,36
-39,-45,40,36
-40,-44,40,36
-42,-48,40,36
-36,-47,40,36
-42,-47,40,36
-40,-47,40,36
-38,-45,40,36
-38,-44,40,36
-41,-44,40,36
-37,-48,40,36
-40,-47,40,36
-37,-44,40,36
-38,-44,40,36
-37,-44,41,36
-39,-49,52,48
-39,-48,52,48
-39,-48,52,48
-42,-53,52,48
-40,-51,52,48
-39,-49,52,48
-39,-48,52,48
-38,-48,52,47
-40,-48,52,48
-37,-51,52,48
-38,-48,52,47
-40,-48,52,48
-40,-48,52,48
-39,-51,52,47
-40,-48,52,47
-39,-48,52,48
-38,-52,52,48
-40,-52,52,48
-40,-51,52,48
-39,-51,52,48
-43,-48,64,55
-42,-49,63,55
-44,-49,64,55
-44,-49,64,55
-44,-49,64,55
-42,-49,64,55
-44,-48,64,55
-42,-48,63,55
-44,-48,63,55
-43,-49,63,55
-44,-49,63,55
-43,-50,64,55
-42,-49,64,56
-41,-50,64,55
-43,-50,64,56
-41,-49,64,55
-42,-50,64,55
-43,-50,64,56
-43,-49,64,55
-43,-49,63,55
-42,-51,75,65
-39,-49,75,65
-42,-49,75,65
-43,-49,76,65
-41,-49,75,65
-43,-49,75,66
-41,-52,75,66
-40,-49,76,66
-41,-48,75,66
-41,-49,75,65
-40,-48,75,65
-40,-49,75,66
-40,-49,76,65
-41,-49,76,65
-38,-49,75,66
-40,-49,76,66
-40,-48,75,66
-41,-48,75,65
-39,-49,75,65
-40,-49,75,66
-45,-49,88,75
-43,-50,87,75
-46,-49,87,75
-44,-49,86,75
-44,-49,87,75
-44,-49,86,76
