rssi_6,rssi_17,dis_6,dis_17
-43,-50,155,151
-46,-55,155,151
-45,-55,146,151
-43,-55,100,152
-42,-50,156,152
-45,-55,155,151
-43,-50,100,151
-43,-50,156,152
-43,-53,156,151
-46,-52,155,151
-42,-49,155,151
-41,-49,156,151
-42,-52,157,151
-42,-52,101,152
-41,-52,156,151
-43,-51,100,151
-40,-55,155,151
-42,-52,155,151
-43,-52,172,164
-43,-52,172,165
-47,-51,171,164
-43,-50,171,164
-43,-56,170,164
-44,-52,171,164
-47,-56,171,165
-44,-56,171,165
-44,-53,172,164
-45,-53,171,164
-46,-53,171,164
-46,-56,174,164
-45,-56,171,164
-48,-56,171,165
-44,-52,171,164
-45,-53,171,164
-45,-52,171,165
-48,-57,172,165
-47,-56,171,165
-44,-51,171,164
-42,-51,123,177
-47,-49,120,177
-46,-55,118,176
-43,-52,120,178
-43,-52,118,177
-47,-55,120,177
-43,-51,122,177
-46,-55,124,177
-47,-56,120,177
-44,-52,119,177
-48,-55,120,177
-43,-52,119,177
-47,-57,119,177
-41,-54,120,177
-44,-57,122,177
-44,-52,118,176
-43,-53,119,177
-43,-53,120,178
-47,-59,121,176
-42,-53,124,178
-48,-58,128,190
-46,-58,126,191
-45,-53,126,191
-47,-53,126,189
-50,-59,126,190
-47,-52,127,189
-47,-53,127,189
-46,-53,131,190
-49,-53,136,189
-46,-54,126,189
-47,-58,128,190
-46,-52,128,189
-44,-53,126,189
-46,-53,127,190
-46,-54,131,189
-47,-51,127,190
-48,-51,127,189
-51,-51,127,191
-51,-51,126,190
-48,-49,127,189
-47,-56,123,181
-48,-56,126,181
-48,-56,127,181
-48,-57,124,181
-45,-54,126,182
-46,-53,127,181
-44,-57,125,181
-44,-57,125,181
-45,-54,123,181
-44,-53,119,181
-48,-53,122,181
-45,-53,126,181
-48,-52,122,182
-45,-52,122,181
-45,-53,125,182
-48,-52,122,181
-45,-52,123,181
-45,-52,123,181
-45,-57,123,182
-46,-52,119,182
-41,-53,111,173
-43,-55,119,173
-44,-55,111,173
-44,-55,110,174
-41,-54,118,174
-44,-51,121,173
-42,-53,112,174
-43,-54,119,173
-45,-51,122,173
-45,-51,109,173
-40,-53,122,173
-43,-53,118,173
-46,-55,119,174
-44,-52,112,174
-42,-51,103,173
-43,-49,100,174
-48,-52,100,173
-46,-56,183,173
-48,-55,120,174
-45,-61,121,173
-55,-59,156,166
-57,-58,154,165
-55,-55,156,165
-54,-56,156,165
-52,-56,158,165
-54,-56,160,165
-55,-56,160,165
-54,-56,159,166
-53,-56,169,165
-54,-56,170,165
-54,-56,170,165
-54,-55,170,165
-52,-56,170,166
-50,-57,169,165
-51,-55,170,165
-53,-55,169,166
-55,-54,169,165
-53,-55,170,165
-54,-55,169,166
-55,-55,171,165
-45,-55,101,156
-47,-55,103,156
-43,-51,100,157
-46,-56,102,156
-46,-56,160,156
-46,-55,102,156
-46,-55,103,156
-46,-55,159,156
-43,-52,159,155
-41,-52,102,155
-46,-56,159,156
-46,-56,161,156
-45,-55,161,157
-46,-56,161,156
-46,-56,159,156
-46,-56,101,156
-45,-55,102,157
-44,-56,160,156
-45,-56,160,156
-42,-52,104,156
-55,-50,138,148
-56,-48,138,147
-51,-50,137,148
-57,-50,139,147
-56,-50,152,149
-58,-50,139,147
-59,-50,151,148
-55,-48,140,148
-55,-48,138,148
-54,-48,138,148
-53,-48,151,148
-58,-50,151,147
-55,-48,138,148
-58,-50,137,147
-55,-48,140,147
-58,-50,138,148
-58,-50,140,147
-58,-50,150,147
-57,-50,138,148
-58,-50,151,148
-48,-51,143,139
-48,-51,142,139
-45,-51,144,139
-47,-51,144,139
-44,-49,143,140
-42,-49,142,140
-45,-51,144,140
-48,-51,142,139
-45,-51,142,139
-47,-51,143,139
-47,-51,143,139
-47,-51,143,140
-48,-51,142,140
-48,-51,143,140
-47,-51,143,139
-48,-51,143,139
-43,-49,143,140
-49,-51,142,139
-46,-49,143,139
-47,-49,142,139
-44,-51,134,132
-42,-51,134,132
-44,-52,133,132
-45,-51,133,131
-49,-55,134,131
-45,-51,134,132
-46,-51,134,131
-46,-51,134,131
-47,-55,134,132
-46,-51,133,132
-45,-51,134,131
-48,-55,134,132
-44,-51,134,132
-49,-55,134,131
-46,-50,134,132
-49,-53,134,131
-45,-51,134,131
-48,-55,133,131
-49,-55,134,132
-48,-55,133,131
