-43,-56,207,159
-43,-56,206,161
-42,-55,207,160
-42,-54,207,160
-44,-55,206,160
-40,-55,206,159
-42,-56,207,160
-44,-57,207,160
-44,-57,206,160
-40,-57,206,160
-42,-57,206,159
-42,-57,206,160
-42,-57,208,160
-42,-57,206,160
-42,-55,207,160
-42,-56,207,160
-41,-55,207,159
-42,-56,206,160
-42,-55,206,160
-41,-55,206,160
-46,-47,196,150
-46,-48,198,150
-46,-47,195,150
-45,-48,194,150
-46,-48,195,150
-44,-48,194,151
-44,-48,196,150
-44,-48,195,151
-45,-48,195,150
-46,-48,195,150
-46,-48,195,150
-46,-48,196,150
-45,-48,195,150
-46,-47,195,151
-47,-48,195,150
-46,-47,196,150
-45,-49,195,151
-47,-48,195,152
-47,-49,195,150
-47,-48,195,151
-38,-51,184,140
-38,-51,185,140
-38,-51,184,140
-39,-51,184,140
-38,-51,184,140
-38,-51,185,141
-39,-50,184,140
-39,-50,185,140
-40,-50,185,141
-39,-51,184,141
-39,-51,183,140
-39,-50,185,140
-37,-51,184,140
-39,-50,184,140
-39,-50,184,140
-38,-50,185,140
-41,-50,184,140
-39,-51,185,141
-37,-50,184,140
-39,-50,184,140
-40,-53,173,130
-40,-53,173,130
-40,-52,173,130
-40,-53,173,130
-40,-53,173,131
-40,-52,173,131
-40,-52,173,130
-40,-52,173,130
-40,-52,173,131
-39,-52,172,130
-40,-53,172,130
-40,-53,172,130
-40,-53,173,130
-40,-53,173,130
-40,-53,172,130
-40,-54,172,130
-40,-54,173,130
-37,-53,172,130
-40,-53,173,130
-40,-53,173,130
-40,-52,161,121
-38,-52,163,121
-40,-52,161,121
-40,-52,162,121
-40,-51,162,121
-40,-52,161,121
-40,-52,161,121
-40,-51,161,121
-40,-51,160,121
-40,-52,161,121
-40,-51,161,121
-40,-52,162,120
-40,-52,161,120
-41,-52,161,121
-41,-51,161,121
-40,-51,161,121
-41,-51,160,121
-40,-51,161,121
-40,-52,163,121
-38,-51,161,121
-40,-51,150,110
-40,-50,149,111
-38,-50,150,111
-39,-50,150,111
-41,-50,149,111
-42,-50,150,111
-40,-51,149,111
-40,-51,150,110
-37,-51,150,110
-40,-51,150,110
-40,-51,150,110
-40,-51,150,111
-38,-51,149,111
-39,-51,150,111
-39,-51,150,111
-39,-50,150,111
-41,-51,151,111
-40,-50,150,110
-39,-50,150,111
-39,-50,150,111
-39,-49,27,101
-39,-49,138,101
-38,-49,138,101
-38,-49,138,100
-39,-49,138,101
-39,-49,138,101
-39,-49,139,101
-40,-49,140,101
-38,-49,138,100
-37,-48,138,101
-38,-48,138,101
-39,-48,138,101
-39,-48,137,101
-39,-49,138,102
-38,-49,138,101
-37,-48,138,101
-38,-49,138,101
-38,-48,138,101
-39,-48,137,102
-39,-48,138,100
-40,-50,126,91
-41,-50,126,91
-42,-50,126,91
-41,-50,126,91
-40,-50,127,91
-41,-50,127,91
-40,-50,127,91
-40,-50,126,90
-37,-50,127,91
-40,-50,127,91
-41,-49,127,91
-40,-50,126,90
-41,-50,127,91
-40,-50,126,91
-40,-50,127,91
-40,-50,126,91
-40,-50,126,91
-40,-50,126,91
-40,-50,126,91
-40,-50,127,91
-41,-49,115,81
-41,-49,116,81
-41,-49,115,81
-40,-49,115,81
-40,-49,115,81
-40,-48,116,81
-42,-49,116,81
-44,-49,115,81
-42,-49,115,81
-41,-48,115,81
-42,-48,115,81
-42,-49,115,81
-42,-49,115,81
-41,-49,115,81
-41,-49,115,81
-43,-49,116,81
-42,-49,115,81
-42,-49,116,81
-42,-49,115,81
-42,-49,115,81
-41,-50,125,91
-41,-50,126,91
-41,-50,127,91
-41,-50,126,91
-41,-50,126,91
-40,-50,126,91
-41,-50,126,91
-41,-49,126,90
-41,-50,126,91
-41,-50,127,91
-41,-50,126,91
-41,-50,126,91
-41,-50,126,90
-41,-50,126,91
-41,-50,127,90
-41,-50,126,91
-40,-50,126,91
-41,-50,126,91
-40,-50,127,91
-41,-50,126,91
-39,-49,139,101
-38,-49,138,101
-40,-49,138,100
-40,-48,137,100
-40,-48,138,101
-39,-47,137,100
-39,-47,137,100
-38,-48,137,100
-39,-49,137,100
-40,-49,139,100
-38,-50,138,100
-38,-49,138,100
-39,-49,137,100
-40,-49,137,100
-40,-49,137,100
-40,-50,139,100
-39,-49,137,100
-38,-49,138,100
-38,-49,137,100
-38,-49,137,100
-41,-50,149,110
-42,-50,149,110
-41,-50,148,111
-41,-50,149,111
-42,-50,150,110
-42,-50,148,110
-43,-50,149,110
-40,-51,149,111
-43,-50,148,110
-41,-50,148,110
-40,-50,149,110
-42,-50,149,110
-42,-50,149,110
-41,-50,149,110
-42,-50,149,111
-41,-50,150,111
-42,-50,149,110
-41,-50,148,111
-41,-50,149,111
-41,-50,149,110
-40,-52,159,119
-40,-52,160,120
-40,-52,161,119
-40,-52,161,121
-40,-52,162,120
-40,-51,160,119
-40,-52,160,120
-41,-52,160,120
-42,-52,160,120
-40,-52,161,120
-40,-52,160,119
-40,-52,160,120
-37,-52,160,119
-40,-52,161,120
-41,-53,160,120
-41,-51,161,119
-38,-52,160,119
-39,-54,160,120
-40,-52,160,120
-40,-52,163,119
-39,-55,173,130
-38,-55,172,130
-39,-56,172,130
-39,-55,171,131
-39,-56,173,130
-39,-56,172,131
-38,-56,173,130
-38,-56,171,130
-39,-56,172,130
-39,-56,171,131
-39,-57,172,130
-38,-56,172,130
-39,-56,172,130
-39,-56,172,130
-40,-56,172,130
-39,-57,172,130
-39,-56,172,131
-39,-56,172,131
-39,-56,171,130
-39,-56,172,131
-41,-56,183,140
-43,-55,183,139
-41,-56,184,140
-41,-55,184,140
-40,-55,183,140
-41,-56,186,141
-41,-55,183,140
-41,-55,184,139
-41,-56,186,139
-41,-55,183,140
-41,-56,183,139
-40,-56,183,139
-41,-55,183,140
-41,-55,184,140
-41,-56,184,139
-41,-55,183,139
-43,-55,184,140
-43,-55,183,139
-41,-55,185,140
-39,-55,184,140
-49,-53,195,150
-49,-53,194,149
-49,-53,195,150
-49,-54,195,150
-49,-54,194,149
-45,-54,196,149
-48,-54,196,149
-48,-54,195,150
-49,-54,196,151
-46,-55,195,149
-49,-54,195,150
-49,-54,195,149
-49,-54,195,150
-48,-54,195,150
-49,-54,196,150
-49,-55,195,150
-48,-54,194,150
-49,-54,194,151
-48,-54,195,150
-49,-54,194,150
-49,-50,54,4
-53,-49,54,4
-51,-50,54,4
-51,-51,54,4
-49,-50,54,4
-52,-51,54,4
-55,-49,54,4
-52,-53,54,4
-48,-52,54,4
-49,-51,54,4
-48,-53,54,4
-53,-52,54,4
-48,-51,54,4
-52,-52,54,4
-50,-54,54,4
-52,-55,54,4
-52,-54,54,4
-51,-55,54,4
-49,-55,54,4
-51,-55,54,4
-41,-42,64,15
-40,-43,65,15
-38,-43,65,15
-40,-43,65,15
-40,-43,65,15
-38,-43,65,15
-39,-43,66,15
-39,-43,66,15
-39,-43,66,15
-41,-43,65,14
